fid,UTCTime,Path,shot_id,VERDADEIRO,shot_valid,score,score_direction,score_continuity,seg_type,azimuth_instant,azimuth_mean,delta_azimuth,delta_time,delta_distance,velocity_instant
1,2026-04-06T16:47:53.880421,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134735_0001_D.JPG,1,11,1,0,0,0,faixa,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
2,2026-04-06T16:48:00.897821,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134742_0002_D.JPG,1,11,1,2,0,2,faixa,168.56107633,168.56107633,0.00000000,7.01740003,49.50352433,7.05439681
3,2026-04-06T16:48:04.228327,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134746_0003_D.JPG,1,11,1,0,0,0,faixa,168.73351315,168.56107633,0.17243682,3.33050609,46.89616417,14.08079221
4,2026-04-06T16:48:07.727250,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134749_0004_D.JPG,1,11,1,0,0,0,faixa,174.34274863,168.64729474,5.69545390,3.49892306,46.10286412,13.17630119
5,2026-04-06T16:48:11.617549,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134753_0005_D.JPG,1,0,1,0,0,0,faixa,210.77759845,170.54508544,40.23251301,3.89029884,46.89614030,12.05463698
6,2026-04-06T16:48:14.880331,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134756_0006_D.JPG,1,0,1,0,0,0,faixa,212.19919961,180.29185479,31.90734482,3.26278210,47.96349627,14.70018372
7,2026-04-06T16:48:20.965224,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134802_0007_D.JPG,1,10,1,2,1,1,faixa,237.29578728,186.75715842,50.53862886,6.08489299,28.82404606,4.73698488
8,2026-04-06T16:48:25.375376,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134807_0008_D.JPG,0,10,0,3,3,0,faixa,348.38182749,194.99989067,153.38193682,4.41015196,46.14706485,10.46382648
9,2026-04-06T16:48:28.697743,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134810_0009_D.JPG,0,10,0,3,3,0,faixa,348.64635967,200.69693366,147.94942601,3.32236695,47.46713396,14.28714366
10,2026-04-06T16:48:31.860779,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134813_0010_D.JPG,0,10,0,3,3,0,faixa,348.82930334,208.93383980,139.89546354,3.16303611,47.37913750,14.97900621
11,2026-04-06T16:48:35.020577,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134816_0011_D.JPG,5,10,1,3,3,0,faixa,348.73815173,221.29592541,127.44222632,3.15979791,47.02281461,14.88158926
12,2026-04-06T16:48:38.208130,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134820_0012_D.JPG,5,10,1,3,3,0,faixa,348.77811232,239.59407282,109.18403950,3.18755293,47.55187059,14.91798619
13,2026-04-06T16:48:42.737803,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134824_0013_D.JPG,5,0,1,0,0,0,faixa,324.70829882,284.82134886,39.88694996,4.52967310,41.12050350,9.07802894
14,2026-04-06T16:48:46.742808,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134828_0014_D.JPG,5,0,1,0,0,0,faixa,283.42671324,306.51474786,23.08803462,4.00500512,47.78064042,11.93023204
15,2026-04-06T16:48:52.364826,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134834_0015_D.JPG,5,9,1,1,1,0,faixa,257.65171953,309.98445077,52.33273124,5.62201786,34.69684908,6.17160065
16,2026-04-06T16:48:56.897816,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134838_0016_D.JPG,0,9,0,3,3,0,faixa,168.88959352,311.69772715,142.80813362,4.53298998,47.19718455,10.41193225
17,2026-04-06T16:49:00.219777,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134842_0017_D.JPG,0,9,0,3,3,0,faixa,168.85002095,315.39480594,146.54478499,3.32196116,47.68912417,14.35571393
18,2026-04-06T16:49:03.382407,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134845_0018_D.JPG,0,9,0,3,3,0,faixa,168.81613758,320.39740126,151.58126368,3.16262984,47.30121563,14.95629207
19,2026-04-06T16:49:06.515878,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134848_0019_D.JPG,0,9,0,3,3,0,faixa,168.82332563,303.62891518,134.80558955,3.13347101,46.80081198,14.93577308
20,2026-04-06T16:49:09.697574,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134851_0020_D.JPG,10,9,1,3,3,0,faixa,168.77899980,266.39651084,97.61751104,3.18169594,47.35672456,14.88411384
21,2026-04-06T16:49:12.885577,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134854_0021_D.JPG,10,9,1,1,1,0,faixa,168.79952565,222.73628883,53.93676318,3.18800306,47.55632319,14.91727651
22,2026-04-06T16:49:16.044882,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134857_0022_D.JPG,10,9,1,0,0,0,faixa,168.82848574,200.95748919,32.12900345,3.15930510,47.21021697,14.94322819
23,2026-04-06T16:49:19.201833,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134901_0023_D.JPG,10,9,1,0,0,0,faixa,168.79352942,190.98326742,22.18973800,3.15695095,47.07036953,14.91007313
24,2026-04-06T16:49:22.932394,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134904_0024_D.JPG,10,0,1,0,0,0,faixa,181.07542060,182.91524401,1.83982341,3.73056102,44.96943748,12.05433640
25,2026-04-06T16:49:26.663422,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134908_0025_D.JPG,10,0,1,0,0,0,faixa,211.70199623,176.49424362,35.20775262,3.73102808,47.41160503,12.70738360
26,2026-04-06T16:49:29.865207,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134911_0026_D.JPG,10,0,1,0,0,0,faixa,212.16987713,174.07516433,38.09471280,3.20178485,47.60326133,14.86772646
27,2026-04-06T16:49:36.204999,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134917_0027_D.JPG,0,8,0,4,3,1,faixa,266.44360394,178.31470881,88.12889513,6.33979201,21.32332176,3.36341030
28,2026-04-06T16:49:40.327348,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134922_0028_D.JPG,0,8,0,3,3,0,faixa,348.58744430,186.00937033,162.57807397,4.12234902,47.81732665,11.59953376
29,2026-04-06T16:49:43.585167,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134925_0029_D.JPG,0,8,0,3,3,0,faixa,348.72903303,191.02226109,157.70677195,3.25781894,47.50563911,14.58203787
30,2026-04-06T16:49:46.747343,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134928_0030_D.JPG,0,8,0,3,3,0,faixa,348.81818458,199.70481099,149.11337360,3.16217613,47.22424590,14.93409726
31,2026-04-06T16:49:49.901328,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134931_0031_D.JPG,0,8,0,3,3,0,faixa,348.75026990,216.99735704,131.75291286,3.15398502,47.05018916,14.91769581
32,2026-04-06T16:49:53.087612,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134934_0032_D.JPG,16,8,1,3,3,0,faixa,348.66942304,252.08127152,96.58815151,3.18628383,47.54007331,14.92022553
33,2026-04-06T16:49:56.244731,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134938_0033_D.JPG,16,8,1,1,1,0,faixa,348.87265283,292.13762394,56.73502890,3.15711904,47.01730750,14.89247221
34,2026-04-06T16:49:59.378185,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134941_0034_D.JPG,16,8,1,0,0,0,faixa,348.73108058,313.91003055,34.82105003,3.13345408,46.64853151,14.88725549
35,2026-04-06T16:50:02.559830,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134944_0035_D.JPG,16,8,1,0,0,0,faixa,348.82580573,326.16032300,22.66548273,3.18164492,47.41012278,14.90113574
36,2026-04-06T16:50:05.736475,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134947_0036_D.JPG,16,8,1,0,0,0,faixa,348.81127218,335.98185773,12.82941444,3.17664504,47.35496087,14.90722453
37,2026-04-06T16:50:08.899912,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134950_0037_D.JPG,16,8,1,0,0,0,faixa,348.82009834,342.56268202,6.25741632,3.16343713,47.19802962,14.91985701
38,2026-04-06T16:50:12.068816,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134953_0038_D.JPG,16,8,1,0,0,0,faixa,348.77725007,348.76152647,0.01572360,3.16890383,47.30966827,14.92934808
39,2026-04-06T16:50:16.728762,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406134958_0039_D.JPG,16,0,1,0,0,0,faixa,320.91249531,348.78050703,27.86801172,4.65994596,40.90657454,8.77833667
40,2026-04-06T16:50:20.917115,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135002_0040_D.JPG,16,0,1,2,1,1,faixa,283.37225849,346.07808187,62.70582338,4.18835306,51.70186277,12.34419878
41,2026-04-06T16:50:26.642815,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135008_0041_D.JPG,0,7,0,3,3,0,faixa,244.44357975,340.36144579,95.91786604,5.72570014,29.82491761,5.20895556
42,2026-04-06T16:50:30.781680,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135012_0042_D.JPG,0,7,0,3,3,0,faixa,168.85361510,332.54548546,163.69187036,4.13886499,45.80553112,11.06717208
43,2026-04-06T16:50:34.063581,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135015_0043_D.JPG,0,7,0,3,3,0,faixa,168.75144122,327.60908727,158.85764604,3.28190088,47.36677424,14.43272540
44,2026-04-06T16:50:37.229423,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135019_0044_D.JPG,0,7,0,3,3,0,faixa,168.89674227,318.72205444,149.82531217,3.16584206,47.42816138,14.98121528
45,2026-04-06T16:50:40.688757,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135022_0045_D.JPG,0,7,0,4,3,1,faixa,168.75288417,299.95860535,131.20572118,3.45933390,51.61858340,14.92153835
46,2026-04-06T16:50:43.609683,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135025_0046_D.JPG,22,7,1,3,3,0,faixa,168.85914169,260.06345069,91.20430900,2.92092609,43.57349204,14.91769755
47,2026-04-06T16:50:46.714469,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135028_0047_D.JPG,22,7,1,1,1,0,faixa,168.74591815,219.11572315,50.36980499,3.10478592,46.26741776,14.90196714
48,2026-04-06T16:50:50.171055,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135031_0048_D.JPG,22,7,1,1,0,1,faixa,168.76064630,199.53316529,30.77251900,3.45658612,51.57438996,14.92061477
49,2026-04-06T16:50:53.328171,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135035_0049_D.JPG,22,7,1,0,0,0,faixa,168.73095558,190.32691190,21.59595632,3.15711594,47.09497819,14.91708862
50,2026-04-06T16:50:56.496168,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135038_0050_D.JPG,22,7,1,0,0,0,faixa,168.83023832,182.27950785,13.44926954,3.16799688,47.24036598,14.91174635
51,2026-04-06T16:50:59.381540,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135041_0051_D.JPG,22,7,1,0,0,0,faixa,168.75947346,174.77825791,6.01878445,2.88537216,42.95909848,14.88858146
52,2026-04-06T16:51:02.546340,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135044_0052_D.JPG,22,7,1,0,0,0,faixa,168.70298629,168.79410562,0.09111933,3.16479993,47.12086496,14.88905018
53,2026-04-06T16:51:05.977308,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135047_0053_D.JPG,22,7,1,1,0,1,faixa,168.72356872,168.77904274,0.05547402,3.43096805,51.17500032,14.91561554
54,2026-04-06T16:51:09.166277,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135050_0054_D.JPG,22,7,1,0,0,0,faixa,168.76682598,168.77625548,0.00942951,3.18896890,47.58410371,14.92146999
55,2026-04-06T16:51:12.333340,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135054_0055_D.JPG,22,7,1,0,0,0,faixa,168.86068264,168.76326386,0.09741878,3.16706300,47.18482961,14.89860784
56,2026-04-06T16:51:17.164892,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135058_0056_D.JPG,22,0,1,0,0,0,faixa,193.93850743,168.77404371,25.16446373,4.83155203,32.21702222,6.66804829
57,2026-04-06T16:51:21.883505,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135103_0057_D.JPG,0,0,0,4,3,1,faixa,275.62984830,171.22362380,104.40622450,4.71861315,48.31791865,10.23985589
58,2026-04-06T16:51:26.484237,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135108_0058_D.JPG,0,6,0,3,3,0,faixa,292.79737074,177.88274495,114.91462579,4.60073185,42.38389303,9.21242411
59,2026-04-06T16:51:30.779599,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135112_0059_D.JPG,0,6,0,3,3,0,faixa,348.19605529,186.16824565,162.02780964,4.29536200,47.17571119,10.98294189
60,2026-04-06T16:51:34.085086,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135115_0060_D.JPG,0,6,0,3,3,0,faixa,348.70779276,192.49182636,156.21596640,3.30548716,47.66013505,14.41849047
61,2026-04-06T16:51:37.242251,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135119_0061_D.JPG,0,6,0,3,3,0,faixa,348.88236988,204.78954666,144.09282322,3.15716481,47.16112733,14.93780976
62,2026-04-06T16:51:40.408037,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135122_0062_D.JPG,0,6,0,3,3,0,faixa,348.78844482,233.33899944,115.44944538,3.16578603,47.35633679,14.95879266
63,2026-04-06T16:51:43.562928,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135125_0063_D.JPG,29,6,1,3,3,0,faixa,348.74157705,281.81190032,66.92967673,3.15489101,47.03127948,14.90741812
64,2026-04-06T16:51:46.724647,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135128_0064_D.JPG,29,6,1,0,0,0,faixa,348.75565737,311.73196140,37.02369597,3.16171908,47.16318395,14.91694319
65,2026-04-06T16:51:49.912704,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135131_0065_D.JPG,29,6,1,0,0,0,faixa,348.75770996,324.56934362,24.18836634,3.18805695,47.56866667,14.92089617
66,2026-04-06T16:51:53.071249,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135134_0066_D.JPG,29,6,1,0,0,0,faixa,348.74323746,331.03574903,17.70748843,3.15854502,46.96450820,14.86903240
67,2026-04-06T16:51:56.224309,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135138_0067_D.JPG,29,6,1,0,0,0,faixa,348.86409629,337.29754313,11.56655316,3.15305996,47.04457139,14.92029076
68,2026-04-06T16:51:59.381882,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135141_0068_D.JPG,29,6,1,0,0,0,faixa,348.89913776,343.76390457,5.13523318,3.15757298,47.12244079,14.92362679
69,2026-04-06T16:52:02.544422,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135144_0069_D.JPG,29,6,1,0,0,0,faixa,348.66342679,348.73360860,0.07018181,3.16253996,47.09902729,14.89278488
70,2026-04-06T16:52:05.735178,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135147_0070_D.JPG,29,6,1,0,0,0,faixa,348.81286603,348.78034501,0.03252102,3.19075608,47.54968490,14.90232524
71,2026-04-06T16:52:08.879537,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135150_0071_D.JPG,29,6,1,0,0,0,faixa,348.81232007,348.79085234,0.02146773,3.14435911,46.94906169,14.93120220
72,2026-04-06T16:52:12.024260,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135153_0072_D.JPG,29,6,1,0,0,0,faixa,348.78546236,348.78384736,0.00161500,3.14472294,46.88342630,14.90860315
73,2026-04-06T16:52:15.609507,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135157_0073_D.JPG,29,6,1,1,0,1,faixa,347.85888135,348.78354911,0.92466776,3.58524704,49.62028836,13.84013090
74,2026-04-06T16:52:20.331744,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135202_0074_D.JPG,29,0,1,1,1,0,faixa,293.39581965,348.69528242,55.29946277,4.72223687,42.09331223,8.91385023
75,2026-04-06T16:52:24.187463,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135205_0075_D.JPG,29,0,1,2,1,1,faixa,282.60291603,343.77848702,61.17557099,3.85571909,50.82400761,13.18146017
76,2026-04-06T16:52:30.549034,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135212_0076_D.JPG,0,5,0,4,3,1,faixa,190.69476607,337.73201386,147.03724779,6.36157107,35.28334929,5.54632635
77,2026-04-06T16:52:34.311090,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135216_0077_D.JPG,0,5,0,4,3,1,faixa,168.71484266,331.99794014,163.28309748,3.76205587,49.14155579,13.06242051
78,2026-04-06T16:52:37.218913,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135219_0078_D.JPG,0,5,0,3,3,0,faixa,168.89743721,325.93833693,157.04089972,2.90782309,43.43496594,14.93727942
79,2026-04-06T16:52:40.383863,G:\DCIM\DJI_202604061335_001_B01\DJI_20260406135222_0079_D.JPG,0,5,0,3,3,0,faixa,168.79469755,313.81432339,145.01962584,3.16494989,47.25729211,14.93145032
